Name,Municipality,County,Address,Student body count,Latitude,Longitude
Møller kompetansesenter - Statlig Spesialpedagogis,Trondheim,Sør-Trøndelag,,,,
Hesseng Flerbrukssenter Avdeling skole,Sør-Varanger,Finnmark,,,,
Vågan Oppvekstsenter - Avdeling skole,Snillfjord,Sør-Trøndelag,,,,
Imsland skule,Vindagjord ,Rogaland,,,,
Innfjorden skole og Barnehage,Rauma,Møre og Romsdal,,,,
SPAIN - DNS - Gran Canaria,Utland,Utland,,,,
Budal og Singsaas Oppvekstområde - Avd Singsås sko,Midtre Gauldal,Sør-Trøndelag,,,,
PERU - Colegio Noruego,Utland,Utland,,,,
QATAR- Qafco Norwegian School,Utland,Utland,,,,
"SPAIN - Costa Blanca Undervisning, Albir",Utland,Utland,,,,
SPAIN - DNS - Costa del Sol,Utland,Utland,,,,
Tyrifjord skole Adventistsamfunnets grunnskole,Hole,Buskerud,,41,,
Frydenlund skole og ressurssenter,Skedsmo,Akershus,,,,
Stiftelsen Lyngdal Kristne grunnskole,Lyngdal,Vest-Agder,,,,
Rossland skule,Meland,Hordaland,"Skintveitvegen 11, 5917 ROSSLAND",134,,
Stiftelsen Steinerskolen i Indre Østfold,Askim,Østfold,,4,,
Råkollen skole,Fredrikstad,Østfold,,,,
Torderød skole Adventistkirkens grunnskole,Moss,Østfold,,,,
BELGIUM - Scandinavian school in Brussels (Ecole R,Utland,Utland,,,,
BELGIUM - SHAPE International School Norwegian Sec,Utland,Utland,,,,
BOLIVIA - Colegio Noruego,Utland,Utland,,,,
ENGLAND - The Norwegian School in London,Utland,Utland,,,,
"FRANCE - Lycee International, Section danoise et n",Utland,Utland,,,,
SPAIN - DNS - Costa Blanca,Utland,Utland,,,,
Husvika skole,Vefsn,Nordland,"Husvika, 8883 HUSVIKA",6,,
Máze Lagasbirasguovddá/maze Nærmiljøsenter - Máze ,Kautokeino,Finnmark,,,,
Vats skule,Vindagjord ,Rogaland,,,,
Ådalsbruk Oppvekstsenter,Løten,Hedmark,,,,
Skogsvåg skule,Sund,Hordaland,"Skogsvåg, 5382 SKOGSVÅG",16,,
Stiftelsen Trondheim International School,Trondheim,Sør-Trøndelag,,,,
Trones Oppvekstsenter,Namsskogan,Nord-Trøndelag,,7,,
Måndalen barne- og ungdomsskule,Rauma,Møre og Romsdal,"Kongensgate 1, 6300 ÅNDALSNES",10,,
Åfarnes skole og Barnehage - Avd skole,Rauma,Møre og Romsdal,,,,
Åram barne- og ungdomsskule,Vanylven,Møre og Romsdal,,,,
Statped Vest - Avdeling Hunstad skole,Bergen,Hordaland,,,,
Steinerskolen på Skjold - Helseped Avdeling,Bergen,Hordaland,,,,
Deutche Schule Oslo - Max Tau,Oslo,Oslo,"Sporveisgata 20, 0354 OSLO",22,,
Granvin Barne- og Undomsskule,Granvin,Hordaland,"Tråena, 5736 GRANVIN",13,,
Ramsund Skole/tjeldsund ungdomsskole,Tjeldsund,Nordland,"Ramsund, 9442 RAMSUND",,,
Songdalen ungdomsskole,Sogndalen,Vest-Agder,,,,
Finsland skole,Sogndalen,Vest-Agder,,,,
Holmen skole - Grunnskole/videregående skole,Asker,Akershus,,,,
Steinerskolen på Hedemarken - Avd Grunnskolen Otte,Stange,Hedmark,,,,
Brånås Nærmiljøsenter Avd. skole,Skedsmo,Akershus,,,,
Olden skule,Stryn,Sogn og Fjordane,"Muri, 6788 OLDEN",14,,
Lund Oppvekstsenter - Avdeling skole,Løten,Hedmark,,,,
Brevik skole,Porsgrunn,Telemark,"Chrystiesgate 1, 3950 BREVIK",28,,
Svortland skule,Bømlo,Hordaland,"Jamnaheia, 5430 BREMNES",,,
Trara skole,Fredrikstad,Østfold,"Leiegata 17, 1617 FREDRIKSTAD",367,,
Vågen skule,Vindagjord ,Rogaland,,,,
Ulsteinvik barneskule,Ulstein,Møre og Romsdal,"Skulevegen 5, 6065 ULSTEINVIK",462,,
Forset skole,Gausdal,Oppland,"Brubakken 12, 2653 VESTRE GAUSDAL",121,,
Vingar skole,Lillehammer,Oppland,"Saksumdalsvegen 40, 2608 LILLEHAMMER",114,,
Telavåg skule,Sund,Hordaland,"Tælavåg, 5380 TÆLAVÅG",82,,
Føynland skole,Tønsberg,Vestfold,,,,
Heskestad skule,Lund,Rogaland,"Ualand, 4463 UALAND",8,,
Lakselv skole - Avdeling barneskole,Porsanger,Finnmark,"Skoleveien, 9700 LAKSELV",425,,
Ulverud skole,Nittedal,Akershus,"Bekkinga 4, 1481 HAGAN",15,,
Tunballen skole,Sogndalen,Vest-Agder,,,,
Hauka og Soknedal Oppvekstområde - Avd Soknedal sk,Midtre Gauldal,Sør-Trøndelag,,,,
Ølen skule,Vindagjord ,Rogaland,,,,
Vik skule,Vindagjord ,Rogaland,,,,
Østvang Oppvekstsenter - Avdeling skole,Løten,Hedmark,,,,
Ånstad Oppvekstsenter - Avdeling skole,Ibestad,Troms,"Ånstad, 9454 ÅNSTAD",3,,
Kjølsdalen skule,Eid,Sogn og Fjordane,"Kjølsdalen, 6776 KJØLSDALEN",3,,
Hardbakke Skule/solund ungdomsskule,Solund,Sogn og Fjordane,,,,
Venabygd Montessoriskule og Barnehage,Ringebu,Oppland,,,,
Lalm Oppvekstsenter - Skuledel,Vågå,Oppland,,,,
Moldjord skole,Beiarn,Nordland,"Moldjord, 8110 MOLDJORD",4,,
Haukland skole,Vestvågøy,Nordland,"Haverringen 59, 8370 LEKNES",10,,
Larsnes skule,Sande,Møre og Romsdal,"Tippen, 6084 LARSNES",10,,
Håvik skule,Bømlo,Hordaland,,,,
Valderøy ungdomsskule,Giske,Møre og Romsdal,"Valderhaug, 6050 VALDERØYA",105,,
Jønsrud Oppvekstsenter - Avdeling skole,Løten,Hedmark,,,,
Oasen skole AS,Sogndalen,Vest-Agder,,,,
SPAIN - DNS - Ciudad Quesada - Rojales,Utland,Utland,,,,
Sandbekken ungdomsskole og Oppvekstsenter,Rælingen,Akershus,,,,
Stiftelsen Trondheim Kristne grunnskole Tomasskole,Trondheim,Sør-Trøndelag,,,,
Pollen skule,Sund,Hordaland,"Eidesjøen, 5382 SKOGSVÅG",82,,
Rand skule,Stryn,Sogn og Fjordane,"Tonningsgata 82, 6783 STRYN",5,,
Rong Oppvekstsenter - Avdeling skule,Øygarden,Hordaland,,6,,
Tofterøy skule,Sund,Hordaland,"Skogsvåg, 5382 SKOGSVÅG",6,,
Toftøy Oppvekstsenter - Avdeling skule,Øygarden,Hordaland,,6,,
Engesland Oppvekstsenter - Avdeling skule,Birkenes,Aust-Agder,"Engesland, 4768 ENGESLAND",7,,
Finnøy Sentralskule,Finnøy,Rogaland,"Haga, 4160 FINNØY",46,,
Hosanger Montessoriskule,Osterøy,Hordaland,"Hosanger, 5282 LONEVÅG",16,,
Karlstad skole,Målselv,Troms,"Karlstad, 9322 KARLSTAD",3,,
Rukkedalen Friskole,Nes,Buskerud,"Rukkedalen, 3540 NESBYEN",7,,
Stegaberg skole,Tysvær,Rogaland,"Stegaberg, 5563 FØRRESFJORDEN",,,
Huglo skule,Stord,Hordaland,"5413,   ",7,-34.0183932,138.8500041
Blomvåg og Breivik Oppvekstsenter - Avd skule,Øygarden,Hordaland,"Høgeseto, 5337 RONG",,30.658602,104.064857
Furulunden skole,Mandal,Vest-Agder,"Bankeveien 4, 4514 MANDAL",483,58.0243309,7.4457038
Blomdalen ungdomsskole,Mandal,Vest-Agder,"Kallhammerveien 2 A, 4514 MANDAL",483,58.0263064,7.4422702
Vassmyra ungdomsskole,Mandal,Vest-Agder,"Vassmyrveien 10, 4515 MANDAL",483,58.0278436,7.4963857
Ime skole,Mandal,Vest-Agder,"Kristiansandsveien 105, 4516 MANDAL",162,58.0336805,7.4928513
Frøysland skole,Mandal,Vest-Agder,"Livegen 47, 4517 MANDAL",48,58.0372112,7.4526839
Spangereid skole,Lindesnes,Vest-Agder,"4521, SPANGEREID  ",23,58.04784,7.154555
Tånevig Grendeskole AS,Søgne,Vest-Agder,"Tånevigveien 30, 4640 SØGNE",6,58.0542356,7.6465515
Flekkerøy skole,Kristiansand,Vest-Agder,"Sildenestangen 50, 4625 FLEKKERØY",64,58.0725677,7.9950619
Langenes skole,Søgne,Vest-Agder,"Langenesveien 230, 4640 SØGNE",598,58.0779531,7.8553413
Stiftelsen Farsund Kristne grunnskole,Farsund,Vest-Agder,"Lunde, 4550 FARSUND",1,58.07972,6.7682836
Lindesnes ungdomsskole,Lindesnes,Vest-Agder,"Peder Claussøns Vei 4, 4520 SØR-AUDNEDAL",70,58.0811057,7.3103945
